year,stand,species,trap,filledseeds,emptyseeds,cones,conefilledseeds,coneemptyseeds,totconeseeds
2009,AG05,TSME,4,0,0,0,NA,NA,0
2009,AG05,ABAM,5,3,0,0,NA,NA,0
2009,AG05,ABGR,5,0,0,0,NA,NA,0
2009,AG05,ABLA,5,0,0,0,NA,NA,0
2009,AG05,ABPR,5,0,0,0,NA,NA,0
2009,AG05,ACGL,5,0,0,0,NA,NA,0
2009,AG05,ALRU,5,0,0,0,NA,NA,0
2009,AG05,CANO,5,0,0,0,NA,NA,0
2009,AG05,PICO,5,0,0,0,NA,NA,0
2009,AG05,PIEN,5,0,0,0,NA,NA,0
2009,AG05,PIMO,5,0,0,0,NA,NA,0
2009,AG05,PISI,5,0,0,0,NA,NA,0
2009,AG05,PSME,5,1,0,0,NA,NA,0
2009,AG05,TABR,5,0,0,0,NA,NA,0
2009,AG05,THPL,5,12,1,33,NA,NA,56
2009,AG05,TSHE,5,2,2,0,NA,NA,0
2009,AG05,TSME,5,0,0,0,NA,NA,0
2009,AG05,ABAM,6,7,1,0,NA,NA,0
2009,AG05,ABGR,6,0,0,0,NA,NA,0
2009,AG05,ABLA,6,0,0,0,NA,NA,0
2009,AG05,ABPR,6,0,0,0,NA,NA,0
2009,AG05,ACGL,6,0,0,0,NA,NA,0
2009,AG05,ALRU,6,0,0,0,NA,NA,0
2009,AG05,CANO,6,0,0,0,NA,NA,0
2009,AG05,PICO,6,0,0,0,NA,NA,0
2009,AG05,PIEN,6,0,0,0,NA,NA,0
2009,AG05,PIMO,6,0,0,0,NA,NA,0
2009,AG05,PISI,6,0,0,0,NA,NA,0
2009,AG05,PSME,6,3,1,3,NA,NA,0
2009,AG05,TABR,6,0,0,0,NA,NA,0
2009,AG05,THPL,6,13,0,6,NA,NA,0
2009,AG05,TSHE,6,0,2,0,NA,NA,0
2009,AG05,TSME,6,0,0,0,NA,NA,0
2009,AM16,ABAM,1,0,0,0,NA,NA,0
2009,AM16,ABGR,1,0,0,0,NA,NA,0
2009,AM16,ABLA,1,0,0,0,NA,NA,0
2009,AM16,ABPR,1,0,0,0,NA,NA,0
2009,AM16,ACGL,1,0,0,0,NA,NA,0
2009,AM16,ALRU,1,0,0,0,NA,NA,0
2009,AM16,CANO,1,0,0,0,NA,NA,0
2009,AM16,PICO,1,0,0,0,NA,NA,0
2009,AM16,PIEN,1,0,0,0,NA,NA,0
2009,AM16,PIMO,1,0,0,0,NA,NA,0
2009,AM16,PISI,1,0,0,0,NA,NA,0
2009,AM16,PSME,1,0,0,0,NA,NA,0
2009,AM16,TABR,1,0,0,0,NA,NA,0
2009,AM16,THPL,1,0,0,0,NA,NA,0
2009,AM16,TSHE,1,1,1,2,NA,NA,0
2009,AM16,TSME,1,0,0,0,NA,NA,0
2009,AM16,ABAM,2,0,0,0,NA,NA,0
2009,AM16,ABGR,2,0,0,0,NA,NA,0
2009,AM16,ABLA,2,0,0,0,NA,NA,0
2009,AM16,ABPR,2,0,0,0,NA,NA,0
2009,AM16,ACGL,2,0,0,0,NA,NA,0
2009,AM16,ALRU,2,0,0,0,NA,NA,0
2009,AM16,CANO,2,7,0,2,NA,NA,0
2009,AM16,PICO,2,0,0,0,NA,NA,0
2009,AM16,PIEN,2,0,0,0,NA,NA,0
2009,AM16,PIMO,2,0,0,0,NA,NA,0
2009,AM16,PISI,2,0,0,0,NA,NA,0
2009,AM16,PSME,2,0,0,0,NA,NA,0
2009,AM16,TABR,2,0,0,0,NA,NA,0
2009,AM16,THPL,2,0,0,0,NA,NA,0
2009,AM16,TSHE,2,3,0,0,NA,NA,0
2009,AM16,TSME,2,1,0,0,NA,NA,0
2009,AM16,ABAM,3,0,0,0,NA,NA,0
2009,AM16,ABGR,3,0,0,0,NA,NA,0
2009,AM16,ABLA,3,0,0,0,NA,NA,0
2009,AM16,ABPR,3,0,0,0,NA,NA,0
2009,AM16,ACGL,3,0,0,0,NA,NA,0
2009,AM16,ALRU,3,0,0,0,NA,NA,0
2009,AM16,CANO,3,0,0,0,NA,NA,0
2009,AM16,PICO,3,0,0,0,NA,NA,0
2009,AM16,PIEN,3,0,0,0,NA,NA,0
2009,AM16,PIMO,3,0,0,0,NA,NA,0
2009,AM16,PISI,3,0,0,0,NA,NA,0
2009,AM16,PSME,3,0,0,0,NA,NA,0
2009,AM16,TABR,3,0,0,0,NA,NA,0
2009,AM16,THPL,3,0,0,0,NA,NA,0
2009,AM16,TSHE,3,6,0,0,NA,NA,0
2009,AM16,TSME,3,5,0,0,NA,NA,0
2009,AM16,ABAM,4,0,0,0,NA,NA,0
2009,AM16,ABGR,4,0,0,0,NA,NA,0
2009,AM16,ABLA,4,0,0,0,NA,NA,0
2009,AM16,ABPR,4,0,0,0,NA,NA,0
2009,AM16,ACGL,4,0,0,0,NA,NA,0
2009,AM16,ALRU,4,0,0,0,NA,NA,0
2009,AM16,CANO,4,0,0,0,NA,NA,0
2009,AM16,PICO,4,0,0,0,NA,NA,0
2009,AM16,PIEN,4,0,0,0,NA,NA,0
2009,AM16,PIMO,4,0,0,0,NA,NA,0
2009,AM16,PISI,4,0,0,0,NA,NA,0
2009,AM16,PSME,4,0,0,0,NA,NA,0
2009,AM16,TABR,4,0,0,0,NA,NA,0
2009,AM16,THPL,4,0,0,0,NA,NA,0
2009,AM16,TSHE,4,5,1,0,NA,NA,0
2009,AM16,TSME,4,0,0,0,NA,NA,0
2009,AM16,ABAM,5,0,0,0,NA,NA,0
2009,AM16,ABGR,5,0,0,0,NA,NA,0
2009,AM16,ABLA,5,0,0,0,NA,NA,0
2009,AM16,ABPR,5,0,0,0,NA,NA,0
2009,AM16,ACGL,5,0,0,0,NA,NA,0
2009,AM16,ALRU,5,0,0,0,NA,NA,0
2009,AM16,CANO,5,1,1,0,NA,NA,0
2009,AM16,PICO,5,0,0,0,NA,NA,0
2009,AM16,PIEN,5,0,0,0,NA,NA,0
2009,AM16,PIMO,5,0,0,0,NA,NA,0
2009,AM16,PISI,5,0,0,0,NA,NA,0
2009,AM16,PSME,5,0,0,0,NA,NA,0
2009,AM16,TABR,5,0,0,0,NA,NA,0
2009,AM16,THPL,5,0,0,0,NA,NA,0
2009,AM16,TSHE,5,9,4,0,NA,NA,0
2009,AM16,TSME,5,2,0,0,NA,NA,0
2009,AM16,ABAM,6,0,0,0,NA,NA,0
2009,AM16,ABGR,6,0,0,0,NA,NA,0
2009,AM16,ABLA,6,0,0,0,NA,NA,0
2009,AM16,ABPR,6,0,0,0,NA,NA,0
2009,AM16,ACGL,6,0,0,0,NA,NA,0
2009,AM16,ALRU,6,0,0,0,NA,NA,0
2009,AM16,CANO,6,0,1,5,NA,NA,0
2009,AM16,PICO,6,0,0,0,NA,NA,0
2009,AM16,PIEN,6,0,0,0,NA,NA,0
2009,AM16,PIMO,6,0,0,0,NA,NA,0
2009,AM16,PISI,6,0,0,0,NA,NA,0
2009,AM16,PSME,6,0,0,0,NA,NA,0
2009,AM16,TABR,6,0,0,0,NA,NA,0
2009,AM16,THPL,6,0,0,0,NA,NA,0
2009,AM16,TSHE,6,6,2,1,NA,NA,0
2009,AM16,TSME,6,1,0,1,NA,NA,0
2009,AR07,ABAM,1,1,0,0,NA,NA,0
2009,AR07,ABGR,1,0,0,0,NA,NA,0
2009,AR07,ABLA,1,0,0,0,NA,NA,0
2009,AR07,ABPR,1,0,0,0,NA,NA,0
2009,AR07,ACGL,1,0,0,0,NA,NA,0
2009,AR07,ALRU,1,0,0,0,NA,NA,0
2009,AR07,CANO,1,2,0,0,NA,NA,0
2009,AR07,PICO,1,0,0,0,NA,NA,0
2009,AR07,PIEN,1,0,0,0,NA,NA,0
2009,AR07,PIMO,1,0,0,0,NA,NA,0
2009,AR07,PISI,1,0,0,0,NA,NA,0
2009,AR07,PSME,1,0,0,0,NA,NA,0
2009,AR07,TABR,1,0,0,0,NA,NA,0
2009,AR07,THPL,1,0,0,0,NA,NA,0
2009,AR07,TSHE,1,0,0,0,NA,NA,0
2009,AR07,TSME,1,5,0,0,NA,NA,0
2009,AR07,ABAM,2,0,0,0,NA,NA,0
2009,AR07,ABGR,2,0,0,0,NA,NA,0
2009,AR07,ABLA,2,0,0,0,NA,NA,0
2009,AR07,ABPR,2,0,0,0,NA,NA,0
2009,AR07,ACGL,2,0,0,0,NA,NA,0
2009,AR07,ALRU,2,0,0,0,NA,NA,0
2009,AR07,CANO,2,6,0,6,NA,NA,0
2009,AR07,PICO,2,0,0,0,NA,NA,0
2009,AR07,PIEN,2,0,0,0,NA,NA,0
2009,AR07,PIMO,2,0,0,0,NA,NA,0
2009,AR07,PISI,2,0,0,0,NA,NA,0
2009,AR07,PSME,2,0,0,0,NA,NA,0
2009,AR07,TABR,2,0,0,0,NA,NA,0
2009,AR07,THPL,2,0,0,0,NA,NA,0
2009,AR07,TSHE,2,0,0,0,NA,NA,0
2009,AR07,TSME,2,3,0,0,NA,NA,0
2009,AR07,ABAM,3,0,0,0,NA,NA,0
2009,AR07,ABGR,3,0,0,0,NA,NA,0
2009,AR07,ABLA,3,0,0,0,NA,NA,0
2009,AR07,ABPR,3,0,0,0,NA,NA,0
2009,AR07,ACGL,3,0,0,0,NA,NA,0
2009,AR07,ALRU,3,0,0,0,NA,NA,0
2009,AR07,CANO,3,0,0,3,NA,NA,0
2009,AR07,PICO,3,0,0,0,NA,NA,0
2009,AR07,PIEN,3,0,0,0,NA,NA,0
2009,AR07,PIMO,3,0,0,0,NA,NA,0
2009,AR07,PISI,3,0,0,0,NA,NA,0
2009,AR07,PSME,3,0,0,0,NA,NA,0
2009,AR07,TABR,3,0,0,0,NA,NA,0
2009,AR07,THPL,3,0,0,0,NA,NA,0
2009,AR07,TSHE,3,0,0,0,NA,NA,0
2009,AR07,TSME,3,1,1,0,NA,NA,0
2009,AR07,ABAM,4,0,0,0,NA,NA,0
2009,AR07,ABGR,4,0,0,0,NA,NA,0
2009,AR07,ABLA,4,0,0,0,NA,NA,0
2009,AR07,ABPR,4,0,0,0,NA,NA,0
2009,AR07,ACGL,4,0,0,0,NA,NA,0
2009,AR07,ALRU,4,0,0,0,NA,NA,0
2009,AR07,CANO,4,1,0,0,NA,NA,0
2009,AR07,PICO,4,0,0,0,NA,NA,0
2009,AR07,PIEN,4,0,0,0,NA,NA,0
2009,AR07,PIMO,4,0,0,0,NA,NA,0
2009,AR07,PISI,4,0,0,0,NA,NA,0
2009,AR07,PSME,4,0,0,0,NA,NA,0
2009,AR07,TABR,4,0,0,0,NA,NA,0
2009,AR07,THPL,4,0,0,0,NA,NA,0
2009,AR07,TSHE,4,0,0,0,NA,NA,0
2009,AR07,TSME,4,4,0,2,NA,NA,0
2009,AR07,ABAM,5,2,2,0,NA,NA,0
2009,AR07,ABGR,5,0,0,0,NA,NA,0
2009,AR07,ABLA,5,0,0,0,NA,NA,0
2009,AR07,ABPR,5,0,0,0,NA,NA,0
2009,AR07,ACGL,5,0,0,0,NA,NA,0
2009,AR07,ALRU,5,0,0,0,NA,NA,0
2009,AR07,CANO,5,0,1,1,NA,NA,0
2009,AR07,PICO,5,0,0,0,NA,NA,0
2009,AR07,PIEN,5,0,0,0,NA,NA,0
2009,AR07,PIMO,5,0,0,0,NA,NA,0
2009,AR07,PISI,5,0,0,0,NA,NA,0
2009,AR07,PSME,5,0,0,0,NA,NA,0
2009,AR07,TABR,5,0,0,0,NA,NA,0
2009,AR07,THPL,5,0,0,0,NA,NA,0
2009,AR07,TSHE,5,1,1,0,NA,NA,0
2009,AR07,TSME,5,13,5,0,NA,NA,0
2009,AR07,ABAM,6,0,0,0,NA,NA,0
2009,AR07,ABGR,6,0,0,0,NA,NA,0
2009,AR07,ABLA,6,0,0,0,NA,NA,0
2009,AR07,ABPR,6,0,0,0,NA,NA,0
2009,AR07,ACGL,6,0,0,0,NA,NA,0
2009,AR07,ALRU,6,0,0,0,NA,NA,0
2009,AR07,CANO,6,1,0,0,NA,NA,0
2009,AR07,PICO,6,0,0,0,NA,NA,0
2009,AR07,PIEN,6,0,0,0,NA,NA,0
2009,AR07,PIMO,6,0,0,0,NA,NA,0
2009,AR07,PISI,6,0,0,0,NA,NA,0
2009,AR07,PSME,6,0,0,0,NA,NA,0
2009,AR07,TABR,6,0,0,0,NA,NA,0
2009,AR07,THPL,6,0,0,0,NA,NA,0
2009,AR07,TSHE,6,0,0,0,NA,NA,0
2009,AR07,TSME,6,1,2,0,NA,NA,0
2009,AV06,ABAM,1,1,1,0,NA,NA,0
2009,AV06,ABGR,1,0,0,0,NA,NA,0
2009,AV06,ABLA,1,0,0,0,NA,NA,0
2009,AV06,ABPR,1,0,0,0,NA,NA,0
2009,AV06,ACGL,1,0,0,0,NA,NA,0
2009,AV06,ALRU,1,0,0,0,NA,NA,0
2009,AV06,CANO,1,0,0,0,NA,NA,0
2009,AV06,PICO,1,0,0,0,NA,NA,0
2009,AV06,PIEN,1,0,0,0,NA,NA,0
2009,AV06,PIMO,1,0,0,0,NA,NA,0
2009,AV06,PISI,1,0,0,0,NA,NA,0
2009,AV06,PSME,1,0,0,0,NA,NA,0
2009,AV06,TABR,1,0,0,0,NA,NA,0
2009,AV06,THPL,1,0,0,0,NA,NA,0
2009,AV06,TSHE,1,10,5,4,NA,NA,0
2009,AV06,TSME,1,0,0,0,NA,NA,0
2009,AV06,ABAM,2,0,0,0,NA,NA,0
2009,AV06,ABGR,2,0,0,0,NA,NA,0
2009,AV06,ABLA,2,0,0,0,NA,NA,0
2009,AV06,ABPR,2,0,0,0,NA,NA,0
2009,AV06,ACGL,2,0,0,0,NA,NA,0
2009,AV06,ALRU,2,0,0,0,NA,NA,0
2009,AV06,CANO,2,0,0,0,NA,NA,0
2009,AV06,PICO,2,0,0,0,NA,NA,0
2009,AV06,PIEN,2,0,0,0,NA,NA,0
2009,AV06,PIMO,2,0,0,0,NA,NA,0
2009,AV06,PISI,2,0,0,0,NA,NA,0
2009,AV06,PSME,2,2,0,0,NA,NA,0
2009,AV06,TABR,2,0,0,0,NA,NA,0
2009,AV06,THPL,2,0,0,0,NA,NA,0
2009,AV06,TSHE,2,9,4,12,NA,NA,0
2009,AV06,TSME,2,0,0,0,NA,NA,0
2009,AV06,ABAM,3,0,0,0,NA,NA,0
2009,AV06,ABGR,3,0,0,0,NA,NA,0
2009,AV06,ABLA,3,0,0,0,NA,NA,0
2009,AV06,ABPR,3,0,0,0,NA,NA,0
2009,AV06,ACGL,3,0,0,0,NA,NA,0
2009,AV06,ALRU,3,0,0,0,NA,NA,0
2009,AV06,CANO,3,0,0,0,NA,NA,0
2009,AV06,PICO,3,0,0,0,NA,NA,0
2009,AV06,PIEN,3,0,0,0,NA,NA,0
2009,AV06,PIMO,3,0,0,0,NA,NA,0
2009,AV06,PISI,3,0,0,0,NA,NA,0
2009,AV06,PSME,3,0,0,0,NA,NA,0
2009,AV06,TABR,3,0,0,0,NA,NA,0
2009,AV06,THPL,3,0,0,0,NA,NA,0
2009,AV06,TSHE,3,7,2,12,NA,NA,0
2009,AV06,TSME,3,0,0,0,NA,NA,0
2009,AV06,ABAM,4,1,1,0,NA,NA,0
2009,AV06,ABGR,4,0,0,0,NA,NA,0
2009,AV06,ABLA,4,0,0,0,NA,NA,0
2009,AV06,ABPR,4,0,0,0,NA,NA,0
2009,AV06,ACGL,4,0,0,0,NA,NA,0
2009,AV06,ALRU,4,0,0,0,NA,NA,0
2009,AV06,CANO,4,0,0,0,NA,NA,0
2009,AV06,PICO,4,0,0,0,NA,NA,0
2009,AV06,PIEN,4,0,0,0,NA,NA,0
2009,AV06,PIMO,4,0,0,0,NA,NA,0
2009,AV06,PISI,4,0,0,0,NA,NA,0
2009,AV06,PSME,4,0,0,0,NA,NA,0
2009,AV06,TABR,4,0,0,0,NA,NA,0
2009,AV06,THPL,4,0,0,0,NA,NA,0
2009,AV06,TSHE,4,2,1,2,NA,NA,0
2009,AV06,TSME,4,0,0,0,NA,NA,0
2009,AV06,ABAM,5,1,1,0,NA,NA,0
2009,AV06,ABGR,5,0,0,0,NA,NA,0
2009,AV06,ABLA,5,0,0,0,NA,NA,0
2009,AV06,ABPR,5,0,1,0,NA,NA,0
2009,AV06,ACGL,5,0,0,0,NA,NA,0
2009,AV06,ALRU,5,0,0,0,NA,NA,0
2009,AV06,CANO,5,0,0,0,NA,NA,0
2009,AV06,PICO,5,0,0,0,NA,NA,0
2009,AV06,PIEN,5,0,0,0,NA,NA,0
2009,AV06,PIMO,5,0,0,0,NA,NA,0
2009,AV06,PISI,5,0,0,0,NA,NA,0
2009,AV06,PSME,5,2,2,0,NA,NA,0
2009,AV06,TABR,5,0,0,0,NA,NA,0
2009,AV06,THPL,5,1,0,0,NA,NA,0
2009,AV06,TSHE,5,3,3,0,NA,NA,0
2009,AV06,TSME,5,0,0,0,NA,NA,0
2009,AV06,ABAM,6,3,0,0,NA,NA,0
2009,AV06,ABGR,6,0,0,0,NA,NA,0
2009,AV06,ABLA,6,0,0,0,NA,NA,0
2009,AV06,ABPR,6,2,0,0,NA,NA,0
2009,AV06,ACGL,6,0,0,0,NA,NA,0
2009,AV06,ALRU,6,0,0,0,NA,NA,0
2009,AV06,CANO,6,0,0,0,NA,NA,0
2009,AV06,PICO,6,0,0,0,NA,NA,0
2009,AV06,PIEN,6,0,0,0,NA,NA,0
2009,AV06,PIMO,6,0,0,0,NA,NA,0
2009,AV06,PISI,6,0,0,0,NA,NA,0
2009,AV06,PSME,6,0,1,0,NA,NA,0
2009,AV06,TABR,6,0,0,0,NA,NA,0
2009,AV06,THPL,6,1,0,0,NA,NA,0
2009,AV06,TSHE,6,0,2,0,NA,NA,0
2009,AV06,TSME,6,0,0,0,NA,NA,0
2009,AX15,ABAM,1,0,0,0,NA,NA,0
2009,AX15,ABGR,1,0,0,0,NA,NA,0
2009,AX15,ABLA,1,0,0,0,NA,NA,0
2009,AX15,ABPR,1,0,0,0,NA,NA,0
2009,AX15,ACGL,1,0,0,0,NA,NA,0
2009,AX15,ALRU,1,0,0,0,NA,NA,0
2009,AX15,CANO,1,0,0,0,NA,NA,0
2009,AX15,PICO,1,0,0,0,NA,NA,0
2009,AX15,PIEN,1,0,0,0,NA,NA,0
2009,AX15,PIMO,1,0,0,0,NA,NA,0
2009,AX15,PISI,1,0,0,0,NA,NA,0
2009,AX15,PSME,1,0,0,0,NA,NA,0
2009,AX15,TABR,1,0,0,0,NA,NA,0
2009,AX15,THPL,1,1,0,12,NA,NA,18
2009,AX15,TSHE,1,5,9,5,NA,NA,2
2009,AX15,TSME,1,0,0,0,NA,NA,0
2009,AX15,ABAM,2,0,0,0,NA,NA,0
2009,AX15,ABGR,2,0,0,0,NA,NA,0
2009,AX15,ABLA,2,0,0,0,NA,NA,0
2009,AX15,ABPR,2,0,0,0,NA,NA,0
